Starting Mock Data Server with Embedded NATS...
 - NATS: :4222
 - WS:   :4223
 - Stream: :8080/stream
[2026-01-25T19:47:55.367-08:00 | INFO | log.go:Noticef:182] Starting nats-server
[2026-01-25T19:47:55.367-08:00 | INFO | log.go:Noticef:182]   Version:  2.12.3
[2026-01-25T19:47:55.367-08:00 | INFO | log.go:Noticef:182]   Git:      [not set]
[2026-01-25T19:47:55.367-08:00 | DEBUG | log.go:Debugf:263]   Go build: go1.25.5
[2026-01-25T19:47:55.367-08:00 | INFO | log.go:Noticef:182]   Name:     NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I
[2026-01-25T19:47:55.367-08:00 | INFO | log.go:Noticef:182]   ID:       NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I
[2026-01-25T19:47:55.367-08:00 | DEBUG | log.go:Debugf:263] Created system account: "$SYS"
[2026-01-25T19:47:55.367-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS._INBOX.6lbTl482.*  2]
[2026-01-25T19:47:55.367-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.SERVER.ACCOUNT.*.CONNS  3]
[2026-01-25T19:47:55.367-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS._INBOX_.NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I  4]
[2026-01-25T19:47:55.367-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.ACCOUNT.NSUBS  5]
[2026-01-25T19:47:55.367-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.SERVER.*.STATSZ  6]
[2026-01-25T19:47:55.367-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.SERVER.*.SHUTDOWN  7]
[2026-01-25T19:47:55.367-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.SERVER.*.LAMEDUCK  8]
[2026-01-25T19:47:55.367-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.ACCOUNT.*.CLAIMS.UPDATE  9]
[2026-01-25T19:47:55.367-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.ACCOUNT.*.CLAIMS.UPDATE  10]
[2026-01-25T19:47:55.367-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING  11]
[2026-01-25T19:47:55.367-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I.IDZ  12]
[2026-01-25T19:47:55.367-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.IDZ  13]
[2026-01-25T19:47:55.367-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I.VARZ  14]
[2026-01-25T19:47:55.367-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.VARZ  15]
[2026-01-25T19:47:55.367-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I.LEAFZ  16]
[2026-01-25T19:47:55.367-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.LEAFZ  17]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [PUB $SYS.SERVER.ACCOUNT.$SYS.CONNS  731]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- MSG_PAYLOAD: ["{\"type\":\"io.nats.server.advisory.v1.account_connections\",\"id\":\"9e4ArjycwyYBo24yrDAc6d\",\"timestamp\":\"2026-01-26T03:47:55.367563802Z\",\"server\":{\"name\":\"NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I\",\"host\":\"0.0.0.0\",\"id\":\"NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I\",\"ver\":\"2.12.3\",\"jetstream\":false,\"flags\":0,\"seq\":2,\"time\":\"2026-01-26T03:47:55.367678033Z\"},\"acc\":\"$SYS\",\"name\":\"$SYS\",\"conns\":0,\"leafnodes\":0,\"total_conns\":0,\"num_subscriptions\":0,\"sent\":{\"msgs\":0,\"bytes\":0,\"gateways\":{\"msgs\":0,\"bytes\":0},\"routes\":{\"msgs\":0,\"bytes\":0},\"leafs\":{\"msgs\":0,\"bytes\":0}},\"received\":{\"msgs\":0,\"bytes\":0,\"gateways\":{\"msgs\":0,\"bytes\":0},\"routes\":{\"msgs\":0,\"bytes\":0},\"leafs\":{\"msgs\":0,\"bytes\":0}},\"slow_consumers\":0}"]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [PUB $SYS.ACCOUNT.$SYS.SERVER.CONNS  731]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I.JSZ  18]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- MSG_PAYLOAD: ["{\"type\":\"io.nats.server.advisory.v1.account_connections\",\"id\":\"9e4ArjycwyYBo24yrDAc6d\",\"timestamp\":\"2026-01-26T03:47:55.367563802Z\",\"server\":{\"name\":\"NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I\",\"host\":\"0.0.0.0\",\"id\":\"NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I\",\"ver\":\"2.12.3\",\"jetstream\":false,\"flags\":0,\"seq\":3,\"time\":\"2026-01-26T03:47:55.368175511Z\"},\"acc\":\"$SYS\",\"name\":\"$SYS\",\"conns\":0,\"leafnodes\":0,\"total_conns\":0,\"num_subscriptions\":0,\"sent\":{\"msgs\":0,\"bytes\":0,\"gateways\":{\"msgs\":0,\"bytes\":0},\"routes\":{\"msgs\":0,\"bytes\":0},\"leafs\":{\"msgs\":0,\"bytes\":0}},\"received\":{\"msgs\":0,\"bytes\":0,\"gateways\":{\"msgs\":0,\"bytes\":0},\"routes\":{\"msgs\":0,\"bytes\":0},\"leafs\":{\"msgs\":0,\"bytes\":0}},\"slow_consumers\":0}"]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [PUB $SYS.SERVER.ACCOUNT.$SYS.CONNS  732]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- MSG_PAYLOAD: ["{\"type\":\"io.nats.server.advisory.v1.account_connections\",\"id\":\"9e4ArjycwyYBo24yrDAcAA\",\"timestamp\":\"2026-01-26T03:47:55.367796307Z\",\"server\":{\"name\":\"NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I\",\"host\":\"0.0.0.0\",\"id\":\"NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I\",\"ver\":\"2.12.3\",\"jetstream\":false,\"flags\":0,\"seq\":4,\"time\":\"2026-01-26T03:47:55.368286883Z\"},\"acc\":\"$SYS\",\"name\":\"$SYS\",\"conns\":0,\"leafnodes\":0,\"total_conns\":0,\"num_subscriptions\":16,\"sent\":{\"msgs\":0,\"bytes\":0,\"gateways\":{\"msgs\":0,\"bytes\":0},\"routes\":{\"msgs\":0,\"bytes\":0},\"leafs\":{\"msgs\":0,\"bytes\":0}},\"received\":{\"msgs\":0,\"bytes\":0,\"gateways\":{\"msgs\":0,\"bytes\":0},\"routes\":{\"msgs\":0,\"bytes\":0},\"leafs\":{\"msgs\":0,\"bytes\":0}},\"slow_consumers\":0}"]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [PUB $SYS.ACCOUNT.$SYS.SERVER.CONNS  732]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.JSZ  19]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- MSG_PAYLOAD: ["{\"type\":\"io.nats.server.advisory.v1.account_connections\",\"id\":\"9e4ArjycwyYBo24yrDAcAA\",\"timestamp\":\"2026-01-26T03:47:55.367796307Z\",\"server\":{\"name\":\"NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I\",\"host\":\"0.0.0.0\",\"id\":\"NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I\",\"ver\":\"2.12.3\",\"jetstream\":false,\"flags\":0,\"seq\":5,\"time\":\"2026-01-26T03:47:55.368339934Z\"},\"acc\":\"$SYS\",\"name\":\"$SYS\",\"conns\":0,\"leafnodes\":0,\"total_conns\":0,\"num_subscriptions\":16,\"sent\":{\"msgs\":0,\"bytes\":0,\"gateways\":{\"msgs\":0,\"bytes\":0},\"routes\":{\"msgs\":0,\"bytes\":0},\"leafs\":{\"msgs\":0,\"bytes\":0}},\"received\":{\"msgs\":0,\"bytes\":0,\"gateways\":{\"msgs\":0,\"bytes\":0},\"routes\":{\"msgs\":0,\"bytes\":0},\"leafs\":{\"msgs\":0,\"bytes\":0}},\"slow_consumers\":0}"]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I.IPQUEUESZ  20]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.IPQUEUESZ  21]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I.RAFTZ  22]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.RAFTZ  23]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I.CONNZ  24]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.CONNZ  25]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I.ACCOUNTZ  26]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.ACCOUNTZ  27]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I.HEALTHZ  28]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.HEALTHZ  29]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I.PROFILEZ  30]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.PROFILEZ  31]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I.ROUTEZ  32]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.ROUTEZ  33]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I.EXPVARZ  34]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.EXPVARZ  35]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.NDS4D32Q3SUJZUSSFJW5E5MWZTOIML2FCFP2YYNVVPYJREX2XVTZJM2I.STATSZ  36]
[2026-01-25T19:47:55.368-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING.STATSZ  37]
