Starting Mock Data Server with Embedded NATS...
 - NATS: :4222
 - WS:   :4223
 - Stream: :8080/stream
[2026-01-25T19:50:42.262-08:00 | INFO | log.go:Noticef:182] Starting nats-server
[2026-01-25T19:50:42.262-08:00 | INFO | log.go:Noticef:182]   Version:  2.12.3
[2026-01-25T19:50:42.262-08:00 | INFO | log.go:Noticef:182]   Git:      [not set]
[2026-01-25T19:50:42.262-08:00 | DEBUG | log.go:Debugf:263]   Go build: go1.25.5
[2026-01-25T19:50:42.262-08:00 | INFO | log.go:Noticef:182]   Name:     NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU
[2026-01-25T19:50:42.262-08:00 | INFO | log.go:Noticef:182]   ID:       NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU
[2026-01-25T19:50:42.262-08:00 | DEBUG | log.go:Debugf:263] Created system account: "$SYS"
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS._INBOX.yONJ4gGo.*  2]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.SERVER.ACCOUNT.*.CONNS  3]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS._INBOX_.NAPKRKBMSRJ4IAN5JVJQWPLU74CW5HHIPX7VGFXVTWI3EJGANDGCRRWU  4]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.ACCOUNT.NSUBS  5]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.SERVER.*.STATSZ  6]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.SERVER.*.SHUTDOWN  7]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.SERVER.*.LAMEDUCK  8]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.ACCOUNT.*.CLAIMS.UPDATE  9]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.ACCOUNT.*.CLAIMS.UPDATE  10]
[2026-01-25T19:50:42.263-08:00 | TRACE | log.go:Tracef:274] SYSTEM - <<- [SUB $SYS.REQ.SERVER.PING  11]
